"GeneID","padj","pvalue","lfcSE","stat","log2FoldChange","baseMean","Symbol","Description"
2550,3.02e-10,1.22e-11,0.1498,-6.77806511,-1.02,10086.36,"GABBR1","gamma-aminobutyric acid type B receptor subunit 1"
10633,6.33e-10,2.78e-11,0.1982,-6.65797757,-1.32,836.92,"RASL10A","RAS like family 10 member A"
105376244,8.64e-10,3.92e-11,0.203,-6.60707732,-1.34,46.41,"LOC105376244","uncharacterized LOC105376244"
6565,9.5e-10,4.34e-11,0.1641,-6.5919223,-1.08,1887.7,"SLC15A2","solute carrier family 15 member 2"
123041,1.03e-09,4.73e-11,0.2132,-6.57908004,-1.4,608.26,"SLC24A4","solute carrier family 24 member 4"
101929679,1.53e-09,7.34e-11,0.2012,-6.51349097,-1.31,123.79,"LINC02883","long intergenic non-protein coding RNA 2883"
27254,1.63e-09,7.86e-11,0.1923,-6.50332103,-1.25,1048.73,"CSDC2","cold shock domain containing C2"
148,2.16e-09,1.08e-10,0.1744,-6.45543298,-1.13,447.47,"ADRA1A","adrenoceptor alpha 1A"
6833,3.3e-09,1.72e-10,0.2171,-6.38468903,-1.39,961.68,"ABCC8","ATP binding cassette subfamily C member 8"
116443,3.45e-09,1.81e-10,0.2377,-6.37638533,-1.52,365.06,"GRIN3A","glutamate ionotropic receptor NMDA type subunit 3A"
105375222,4.31e-09,2.31e-10,0.1706,-6.33922803,-1.08,187.26,"LOC105375222","uncharacterized LOC105375222"
105379082,5.17e-09,2.8e-10,0.1934,-6.30939734,-1.22,204.5,"LOC105379082","uncharacterized LOC105379082"
375057,5.57e-09,3.05e-10,0.1701,-6.29614183,-1.07,1443.99,"STUM","stum, mechanosensory transduction mediator homolog"
100129540,6.76e-09,3.78e-10,0.1942,-6.26276932,-1.22,51.87,"LOC100129540","uncharacterized LOC100129540"
100131897,6.86e-09,3.84e-10,0.1911,-6.26023656,-1.2,308.75,"INSYN2B","inhibitory synaptic factor family member 2B"
23305,7.66e-09,4.33e-10,0.1644,-6.24152833,-1.03,1992.79,"ACSL6","acyl-CoA synthetase long chain family member 6"
6752,8.08e-09,4.58e-10,0.1945,-6.23269996,-1.21,825.68,"SSTR2","somatostatin receptor 2"
105372093,8.87e-09,5.11e-10,0.2644,-6.21582099,-1.64,51.97,"LOC105372093","uncharacterized LOC105372093"
112267873,9.02e-09,5.21e-10,0.2396,-6.21264097,-1.49,18.59,"LINC02814","long intergenic non-protein coding RNA 2814"
107986910,1.12e-08,6.61e-10,0.2435,-6.17503645,-1.5,43.89,"LOC107986910","uncharacterized LOC107986910"
100289509,1.18e-08,7.04e-10,0.2046,-6.16529639,-1.26,157.66,"KCNIP2-AS1","KCNIP2 antisense RNA 1"
6423,1.49e-08,9.12e-10,0.3024,-6.12409056,-1.85,2318.4,"SFRP2","secreted frizzled related protein 2"
153328,1.51e-08,9.28e-10,0.2122,-6.12129085,-1.3,599.46,"SLC25A48","solute carrier family 25 member 48"
107984117,1.98e-08,1.25e-09,0.2516,-6.07346734,-1.53,70.71,"LINC02058","long intergenic non-protein coding RNA 2058"
105370525,2.77e-08,1.82e-09,0.2839,-6.01316752,-1.71,416.33,"LOC105370525","uncharacterized LOC105370525"
89932,3.2e-08,2.13e-09,0.1714,-5.98740635,-1.03,540.59,"PAPLN","papilin, proteoglycan like sulfated glycoprotein"
102724398,3.37e-08,2.25e-09,0.1889,-5.97897807,-1.13,42,"CH507-42P11.6","uncharacterized CH507-42P11.6"
6585,3.67e-08,2.46e-09,0.1977,-5.96408557,-1.18,3659.66,"SLIT1","slit guidance ligand 1"
9356,3.92e-08,2.65e-09,0.2182,-5.95181357,-1.3,77.23,"SLC22A6","solute carrier family 22 member 6"
101929400,4.31e-08,2.94e-09,0.2035,-5.93509437,-1.21,15.57,"LOC101929400","uncharacterized LOC101929400"
56884,7.56e-08,5.43e-09,0.2392,-5.83338951,-1.4,349.96,"FSTL5","follistatin like 5"
22941,8.49e-08,6.19e-09,0.1844,-5.81158697,-1.07,723.53,"SHANK2","SH3 and multiple ankyrin repeat domains 2"
100505875,9.05e-08,6.64e-09,0.2615,-5.79977985,-1.52,413.79,"LINC01088","long intergenic non-protein coding RNA 1088"
107986777,1.05e-07,7.89e-09,0.1955,-5.77078867,-1.13,26.74,"LOC107986777","uncharacterized LOC107986777"
83876,1.19e-07,9.02e-09,0.1762,-5.74822681,-1.01,1692.74,"MRO","maestro"
2834,1.2e-07,9.06e-09,0.3524,-5.74754195,-2.03,440.84,"PRLHR","prolactin releasing hormone receptor"
283455,1.26e-07,9.61e-09,0.2212,-5.73744858,-1.27,419.33,"KSR2","kinase suppressor of ras 2"
284950,1.37e-07,1.05e-08,0.2175,-5.72168294,-1.24,25.03,"LOC284950","uncharacterized LOC284950"
30819,1.53e-07,1.19e-08,0.2136,-5.70080658,-1.22,1060.05,"KCNIP2","potassium voltage-gated channel interacting protein 2"
728798,1.84e-07,1.47e-08,0.2533,-5.66548336,-1.44,56.23,"FRMPD2B","FERM and PDZ domain containing 2B, pseudogene"
84913,2.36e-07,1.93e-08,0.1926,-5.61818737,-1.08,1240.77,"ATOH8","atonal bHLH transcription factor 8"
105376505,2.56e-07,2.11e-08,0.1959,-5.60314156,-1.1,19.55,"LOC105376505","uncharacterized LOC105376505"
25834,3.09e-07,2.6e-08,0.2058,-5.56650484,-1.15,473.78,"MGAT4C","MGAT4 family member C"
60495,3.09e-07,2.6e-08,0.2624,-5.56637533,-1.46,387.97,"HPSE2","heparanase 2 (inactive)"
107985728,3.17e-07,2.68e-08,0.2222,-5.56084499,-1.24,55.39,"LOC107985728","collagen alpha-1(III) chain-like"
441151,3.32e-07,2.82e-08,0.2138,-5.55232489,-1.19,1185,"TMEM151B","transmembrane protein 151B"
64850,4.57e-07,4.01e-08,0.2575,-5.49042679,-1.41,2709.41,"ETNPPL","ethanolamine-phosphate phospho-lyase"
146894,5.39e-07,4.85e-08,0.2866,-5.45657327,-1.56,50.22,"CD300LG","CD300 molecule like family member g"
105378390,5.82e-07,5.27e-08,0.1961,-5.44188656,-1.07,28.35,"LOC105378390","uncharacterized LOC105378390"
221938,5.9e-07,5.35e-08,0.1963,-5.43911867,-1.07,717.44,"MMD2","monocyte to macrophage differentiation associated 2"
2740,6.44e-07,5.93e-08,0.2983,-5.42098979,-1.62,137.72,"GLP1R","glucagon like peptide 1 receptor"
6563,7.47e-07,7e-08,0.301,-5.39118613,-1.62,1501.73,"SLC14A1","solute carrier family 14 member 1 (Kidd blood group)"
1852,7.83e-07,7.38e-08,0.2093,-5.38156305,-1.13,76.4,"DUSP9","dual specificity phosphatase 9"
219736,8.13e-07,7.72e-08,0.1884,-5.37363836,-1.01,522.55,"STOX1","storkhead box 1"
105378589,8.91e-07,8.58e-08,0.2741,-5.35446161,-1.47,54.71,"LOC105378589","uncharacterized LOC105378589"
105,9.02e-07,8.71e-08,0.2018,-5.35176478,-1.08,670.04,"ADARB2","adenosine deaminase RNA specific B2 (inactive)"
9241,1.11e-06,1.09e-07,0.1973,-5.31021098,-1.05,302.98,"NOG","noggin"
105369543,1.13e-06,1.12e-07,0.2133,-5.30626525,-1.13,39.82,"LOC105369543","uncharacterized LOC105369543"
7274,1.16e-06,1.16e-07,0.1935,-5.29978586,-1.03,101.46,"TTPA","alpha tocopherol transfer protein"
11122,1.43e-06,1.46e-07,0.2141,-5.25789804,-1.13,1363.96,"PTPRT","protein tyrosine phosphatase receptor type T"
100505835,1.49e-06,1.53e-07,0.2841,-5.24851106,-1.49,88.8,"LINC01532","long intergenic non-protein coding RNA 1532"
100192386,1.53e-06,1.58e-07,0.2062,-5.24328172,-1.08,3026.43,"FLJ16779","uncharacterized LOC100192386"
6402,1.56e-06,1.61e-07,0.2967,-5.23915798,-1.55,2043.28,"SELL","selectin L"
729870,1.64e-06,1.71e-07,0.2231,-5.22805912,-1.17,32.87,"LOC729870","uncharacterized LOC729870"
3356,1.67e-06,1.75e-07,0.2289,-5.22449223,-1.2,222.72,"HTR2A","5-hydroxytryptamine receptor 2A"
105372649,2.22e-06,2.39e-07,0.2064,-5.16614744,-1.07,12.95,"LOC105372649","uncharacterized LOC105372649"
26047,2.3e-06,2.49e-07,0.1962,-5.15832083,-1.01,1188.72,"CNTNAP2","contactin associated protein 2"
5067,4.72e-06,5.64e-07,0.2244,-5.00331151,-1.12,259.48,"CNTN3","contactin 3"
55800,4.76e-06,5.7e-07,0.2112,-5.00127927,-1.06,1978.34,"SCN3B","sodium voltage-gated channel beta subunit 3"
112267989,4.86e-06,5.82e-07,0.2169,-4.99714585,-1.08,71.04,"LOC112267989",""
100130587,5.22e-06,6.29e-07,0.2194,-4.98210681,-1.09,20.64,"LOC100130587","uncharacterized LOC100130587"
100505518,6.22e-06,7.65e-07,0.2095,-4.94412745,-1.04,37.8,"EDNRB-AS1","EDNRB antisense RNA 1"
105372643,6.88e-06,8.58e-07,0.3177,-4.9217245,-1.56,63.75,"LOC105372643","uncharacterized LOC105372643"
3250,7.43e-06,9.34e-07,0.2259,-4.90501734,-1.11,240.38,"HPR","haptoglobin-related protein"
654499,7.45e-06,9.37e-07,0.3283,-4.90442285,-1.61,21.79,"FAM30C","family with sequence similarity 30 member C"
105371623,8.12e-06,1.03e-06,0.2194,-4.88550153,-1.07,159.9,"LOC105371623","uncharacterized LOC105371623"
285093,8.53e-06,1.09e-06,0.2249,-4.87436675,-1.1,352.47,"RTP5","receptor transporter protein 5 (putative)"
2153,8.97e-06,1.16e-06,0.3473,-4.86284554,-1.69,1119.35,"F5","coagulation factor V"
54511,1.04e-05,1.37e-06,0.2128,-4.82905194,-1.03,132.92,"HMGCLL1","3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1"
107987228,1.04e-05,1.37e-06,0.2138,-4.82912499,-1.03,37.56,"LOC107987228","uncharacterized LOC107987228"
100130417,1.1e-05,1.45e-06,0.2114,-4.8180115,-1.02,68.91,"LINC02593","long intergenic non-protein coding RNA 2593"
55273,1.12e-05,1.48e-06,0.2175,-4.81359132,-1.05,1462.42,"TMEM100","transmembrane protein 100"
768096,1.21e-05,1.62e-06,0.2344,-4.79533709,-1.12,53.83,"HAR1A","highly accelerated region 1A"
57718,1.34e-05,1.82e-06,0.218,-4.77245918,-1.04,242.3,"PPP4R4","protein phosphatase 4 regulatory subunit 4"
84779,1.46e-05,2.02e-06,0.2397,-4.751751,-1.14,32.2,"NAA11","N-alpha-acetyltransferase 11, NatA catalytic subunit"
7143,1.61e-05,2.26e-06,0.2193,-4.72854003,-1.04,12644.77,"TNR","tenascin R"
105371115,1.69e-05,2.39e-06,0.2216,-4.71724106,-1.05,53.2,"LOC105371115","uncharacterized LOC105371115"
58512,1.83e-05,2.62e-06,0.2167,-4.69886128,-1.02,711.39,"DLGAP3","DLG associated protein 3"
5522,1.96e-05,2.82e-06,0.2238,-4.6833303,-1.05,1957.36,"PPP2R2C","protein phosphatase 2 regulatory subunit Bgamma"
2565,2.13e-05,3.12e-06,0.2366,-4.66283389,-1.1,801.3,"GABRG1","gamma-aminobutyric acid type A receptor subunit gamma1"
105376380,2.33e-05,3.45e-06,0.3559,-4.64197039,-1.65,210.88,"LOC105376380","uncharacterized LOC105376380"
105373760,2.81e-05,4.27e-06,0.2269,-4.597619,-1.04,19.36,"LOC105373760","uncharacterized LOC105373760"
10083,2.83e-05,4.31e-06,0.2697,-4.59568382,-1.24,861.62,"USH1C","USH1 protein network component harmonin"
9899,2.88e-05,4.41e-06,0.3101,-4.59114053,-1.42,1108.63,"SV2B","synaptic vesicle glycoprotein 2B"
64579,3.39e-05,5.29e-06,0.2607,-4.55286022,-1.19,64.87,"NDST4","N-deacetylase and N-sulfotransferase 4"
2563,3.62e-05,5.69e-06,0.237,-4.53774577,-1.08,487.68,"GABRD","gamma-aminobutyric acid type A receptor subunit delta"
105378256,4.09e-05,6.54e-06,0.2671,-4.5080171,-1.2,13.67,"LOC105378256","uncharacterized LOC105378256"
105373885,4.31e-05,6.98e-06,0.2502,-4.49438573,-1.12,67.55,"ASIC4-AS1","ASIC4 antisense RNA 1"
283028,4.56e-05,7.44e-06,0.2292,-4.48066154,-1.03,54.69,"LOC283028","uncharacterized LOC283028"
9478,4.74e-05,7.78e-06,0.2723,-4.47123801,-1.22,540.14,"CABP1","calcium binding protein 1"
91703,5.06e-05,8.33e-06,0.2477,-4.45640348,-1.1,94.78,"ACY3","aminoacylase 3"
101929052,5.79e-05,9.74e-06,0.251,-4.4227641,-1.11,146.95,"LINC00836","long intergenic non-protein coding RNA 836"
3578,5.99e-05,1.01e-05,0.2607,-4.41472832,-1.15,12.74,"IL9","interleukin 9"
5995,8.54e-05,1.52e-05,0.2433,-4.32644892,-1.05,286.43,"RGR","retinal G protein coupled receptor"
105373643,8.86e-05,1.58e-05,0.3582,-4.31714925,-1.55,130.91,"LOC105373643","uncharacterized LOC105373643"
2662,8.97e-05,1.6e-05,0.2407,-4.31434985,-1.04,171.01,"GDF10","growth differentiation factor 10"
83698,9.67e-05,1.75e-05,0.2357,-4.29487033,-1.01,1267.34,"CALN1","calneuron 1"
285596,0.000101,1.85e-05,0.2997,-4.2822718,-1.28,46.26,"FAM153A","family with sequence similarity 153 member A"
23105,0.000111,2.05e-05,0.2452,-4.25989402,-1.04,141.44,"FSTL4","follistatin like 4"
927,0.000124,2.32e-05,0.2387,-4.23126259,-1.01,23.01,"CD8B2","CD8b2 molecule"
9228,0.000156,3.02e-05,0.2567,-4.17177644,-1.07,167.64,"DLGAP2","DLG associated protein 2"
9758,0.00016,3.11e-05,0.2886,-4.16493698,-1.2,225.79,"FRMPD4","FERM and PDZ domain containing 4"
10369,0.000163,3.19e-05,0.2608,-4.15969293,-1.08,507.19,"CACNG2","calcium voltage-gated channel auxiliary subunit gamma 2"
407738,0.000194,3.87e-05,0.2627,-4.11488739,-1.08,103.69,"TAFA1","TAFA chemokine like family member 1"
9840,0.000221,4.49e-05,0.3657,-4.08075901,-1.49,325.3,"TESPA1","thymocyte expressed, positive selection associated 1"
105369333,0.000221,4.49e-05,0.2596,-4.0805749,-1.06,41.53,"LOC105369333","uncharacterized LOC105369333"
112268292,0.000221,4.5e-05,0.3839,-4.08007529,-1.57,479.71,"LOC112268292",""
55530,0.000232,4.76e-05,0.2703,-4.06718316,-1.1,655.67,"SVOP","SV2 related protein"
80309,0.000237,4.88e-05,0.252,-4.06134927,-1.02,570.89,"SPHKAP","SPHK1 interactor, AKAP domain containing"
105374875,0.000311,6.68e-05,0.3056,-3.98749188,-1.22,18.72,"LOC105374875",""
118427,0.000311,6.68e-05,0.3032,-3.98736192,-1.21,165.39,"OLFM3","olfactomedin 3"
57468,0.00034,7.4e-05,0.2948,-3.96294874,-1.17,1001.54,"SLC12A5","solute carrier family 12 member 5"
23109,0.000351,7.7e-05,0.3182,-3.95358907,-1.26,1236.85,"DDN","dendrin"
284578,0.000384,8.57e-05,0.2719,-3.92781208,-1.07,37.89,"MFSD4A-AS1","MFSD4A antisense RNA 1"
389197,0.000462,0.000106,0.2677,-3.87635105,-1.04,163.65,"C4orf50","chromosome 4 open reading frame 50"
5582,0.000495,0.000115,0.3128,-3.8566141,-1.21,350.02,"PRKCG","protein kinase C gamma"
9177,0.000498,0.000116,0.3571,-3.85477163,-1.38,32.84,"HTR3B","5-hydroxytryptamine receptor 3B"
389941,0.000536,0.000126,0.3412,-3.83402141,-1.31,135.3,"C1QL3","complement C1q like 3"
388662,0.000586,0.000139,0.2966,-3.80954409,-1.13,850.68,"SLC6A17","solute carrier family 6 member 17"
102724604,0.000639,0.000153,0.2709,-3.78571605,-1.03,36.04,"LOC102724604","uncharacterized LOC102724604"
23620,0.00064,0.000154,0.2727,-3.78499015,-1.03,544.68,"NTSR2","neurotensin receptor 2"
105379191,0.000668,0.000162,0.3124,-3.77221316,-1.18,58.12,"CTB-1I21.1","uncharacterized CTB-1I21.1"
758,7e-04,0.000171,0.3134,-3.75845807,-1.18,345.2,"MPPED1","metallophosphoesterase domain containing 1"
440894,0.000788,0.000196,0.3134,-3.7247559,-1.17,82.36,"LINC01123","long intergenic non-protein coding RNA 1123"
815,0.000792,0.000197,0.3404,-3.7231641,-1.27,4100.06,"CAMK2A","calcium/calmodulin dependent protein kinase II alpha"
654429,0.000822,0.000206,0.2898,-3.71191009,-1.08,163.47,"LRTM2","leucine rich repeats and transmembrane domains 2"
653316,0.00087,0.00022,0.3186,-3.69486165,-1.18,26.17,"FAM153CP","protein FAM153C"
25859,0.00091,0.000231,0.2852,-3.68203726,-1.05,119.84,"PART1","prostate androgen-regulated transcript 1"
9796,0.000925,0.000236,0.2743,-3.67740908,-1.01,1692.13,"PHYHIP","phytanoyl-CoA 2-hydroxylase interacting protein"
147381,0.00107,0.000278,0.3023,-3.63521626,-1.1,278.48,"CBLN2","cerebellin 2 precursor"
139189,0.0011,0.000287,0.3036,-3.6268604,-1.1,103.41,"DGKK","diacylglycerol kinase kappa"
9244,0.00118,0.000312,0.2977,-3.60497281,-1.07,583.92,"CRLF1","cytokine receptor like factor 1"
387590,0.00147,0.000402,0.3658,-3.53899185,-1.29,331.08,"TPTEP1","TPTE pseudogene 1"
132332,0.00151,0.000415,0.3183,-3.53036296,-1.12,149.64,"SMIM43","small integral membrane protein 43"
2561,0.00154,0.000425,0.3153,-3.52430041,-1.11,749.14,"GABRB2","gamma-aminobutyric acid type A receptor subunit beta2"
125113,0.00165,0.000459,0.297,-3.50342322,-1.04,116.98,"KRT222","keratin 222"
3747,0.00182,0.000514,0.3219,-3.47316986,-1.12,561.06,"KCNC2","potassium voltage-gated channel subfamily C member 2"
399947,0.00194,0.000551,0.3243,-3.45451728,-1.12,285.74,"C11orf87","chromosome 11 open reading frame 87"
146713,0.00195,0.000555,0.2913,-3.45282209,-1.01,457.97,"RBFOX3","RNA binding fox-1 homolog 3"
57172,0.00196,0.00056,0.3156,-3.4503459,-1.09,206.67,"CAMK1G","calcium/calmodulin dependent protein kinase IG"
400120,0.00201,0.000575,0.329,-3.44332242,-1.13,70.19,"SERTM1","serine rich and transmembrane domain containing 1"
5999,0.00212,0.000612,0.317,-3.42610834,-1.09,1164.24,"RGS4","regulator of G protein signaling 4"
2902,0.00234,0.000687,0.3087,-3.39469764,-1.05,1934.8,"GRIN1","glutamate ionotropic receptor NMDA type subunit 1"
2554,0.00241,0.000711,0.3495,-3.38527724,-1.18,730.98,"GABRA1","gamma-aminobutyric acid type A receptor subunit alpha1"
6857,0.00254,0.000756,0.3155,-3.36832948,-1.06,3753.2,"SYT1","synaptotagmin 1"
29953,0.00275,0.000828,0.315,-3.34311285,-1.05,129.64,"TRHDE","thyrotropin releasing hormone degrading enzyme"
63974,0.00278,0.00084,0.3886,-3.33939206,-1.3,82.32,"NEUROD6","neuronal differentiation 6"
286002,0.00289,0.00088,0.3608,-3.3263579,-1.2,165.49,"SLC26A4-AS1","SLC26A4 antisense RNA 1"
402381,0.00308,0.000946,0.3277,-3.30603316,-1.08,80.49,"SOHLH1","spermatogenesis and oogenesis specific basic helix-loop-helix 1"
2016,0.00317,0.000979,0.3204,-3.29660071,-1.06,112.01,"EMX1","empty spiracles homeobox 1"
105369246,0.00321,0.000995,0.3124,-3.29198877,-1.03,29.79,"LOC105369246","replaced by ID 400553"
114569,0.00324,0.00101,0.3363,-3.28901742,-1.11,229.36,"MAL2","mal, T cell differentiation protein 2"
29993,0.00335,0.00104,0.3336,-3.27850908,-1.09,1693.39,"PACSIN1","protein kinase C and casein kinase substrate in neurons 1"
200407,0.00376,0.00119,0.3256,-3.24039616,-1.06,953.16,"CREG2","cellular repressor of E1A stimulated genes 2"
7781,0.00388,0.00124,0.3444,-3.22962022,-1.11,187.42,"SLC30A3","solute carrier family 30 member 3"
2849,0.00399,0.00128,0.3679,-3.21994633,-1.18,137.86,"GPR26","G protein-coupled receptor 26"
84539,0.00426,0.00139,0.4084,-3.19767379,-1.31,43.21,"MCHR2","melanin concentrating hormone receptor 2"
151009,0.00455,0.00149,0.3315,-3.17604521,-1.05,172.95,"LINC01106","long intergenic non-protein coding RNA 1106"
6534,0.00581,0.00198,0.347,-3.09303613,-1.07,160.86,"SLC6A7","solute carrier family 6 member 7"
100128264,0.00617,0.00213,0.3647,-3.07204004,-1.12,43.21,"HTR5A-AS1","HTR5A antisense RNA 1"
150147,0.00688,0.00242,0.3394,-3.03361246,-1.03,16.45,"UMODL1-AS1","UMODL1 antisense RNA 1"
27012,0.00691,0.00243,0.4053,-3.03207615,-1.23,142.4,"KCNV1","potassium voltage-gated channel modifier subfamily V member 1"
4741,0.00744,0.00264,0.347,-3.00628469,-1.04,1550.68,"NEFM","neurofilament medium chain"
1816,0.00838,0.00304,0.3493,-2.96406341,-1.04,16.11,"DRD5","dopamine receptor D5"
7447,0.00889,0.00326,0.3607,-2.94247273,-1.06,2470.72,"VSNL1","visinin like 1"
3787,0.0091,0.00335,0.3545,-2.93405576,-1.04,171.35,"KCNS1","potassium voltage-gated channel modifier subfamily S member 1"
5650,0.0155,0.00626,0.3876,-2.73385093,-1.06,55.19,"KLK7","kallikrein related peptidase 7"
1610,0.019,0.00793,0.3911,-2.65491289,-1.04,62.07,"DAO","D-amino acid oxidase"
4142,0.0232,0.01,0.3937,-2.5752873,-1.01,35.65,"MAS1","MAS1 proto-oncogene, G protein-coupled receptor"
