"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901988","GO:1901988","negative regulation of cell cycle phase transition","162/7300","273/18888",0.593406593406593,1.53537859400873,7.07211775030392,2.74284082972171e-12,1.58336720624844e-09,1.09398665820862e-09,"891/55143/1017/11200/332/990/991/7465/1111/10403/83540/7272/699/983/55055/1063/5888/51512/701/5932/9212/147841/5347/144455/83990/672/11130/4085/1869/9319/9735/2177/26271/8914/51514/22809/63967/8318/348654/81620/56241/2146/580/4998/57082/51776/146956/675/5933/79968/10106/83903/83666/55159/835/29980/9183/83695/6118/10459/151636/4436/25959/5810/6347/3014/90/64859/28984/51499/10385/51379/25896/3619/1263/4193/1407/4582/116224/57405/91607/1763/8379/678/10457/3624/261726/23026/80185/5311/4303/90381/55743/322/5883/9675/595/545/5371/57662/1432/785/440275/51720/9555/11073/55755/51339/5884/54962/5988/25949/79184/3364/9088/5925/60561/57099/84446/472/7756/1843/8451/7157/54908/84142/54888/8720/58493/26058/51347/9587/9344/131601/79960/51322/123879/84444/5781/9577/324/10116/900/57646/79027/10263/7158/8555/27183/79577/988/3275/10217/4361/57551/56155/1112/79621/5934/677/80198/11170",162
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","248/7300","455/18888",0.545054945054945,1.41027367153395,7.03104717163597,3.06389631584021e-12,1.62131180046545e-09,1.12020349512474e-09,"891/55143/1017/11200/332/990/1031/991/7465/1111/10403/83540/6241/6790/7272/11065/699/983/55055/1063/5888/51512/701/9787/5932/113130/9212/147841/5347/144455/83990/672/1062/11130/6491/4085/1869/9319/9735/2177/81610/26271/8914/9928/1019/51514/22809/63967/8318/1021/348654/81620/995/8317/56241/2146/8444/580/4998/57082/51776/993/146956/6605/10926/675/5933/79968/23236/86/10106/83903/10783/83666/6240/55159/56892/10537/9510/835/27085/29980/9183/51692/9700/22976/1956/83695/6118/10459/163786/151636/4436/994/55920/25959/5810/6347/219736/3014/90/64859/5721/28984/79915/60/51499/10385/29766/51379/637/57504/25896/3619/1263/286053/4193/1022/1407/4582/6868/116224/2735/57405/894/91607/1763/84967/8379/678/10457/9134/3624/261726/23026/80185/5311/4303/90381/252983/51434/55743/322/5883/9675/595/84687/8462/4330/545/6909/5371/9274/57662/1981/6595/1432/785/440275/51720/6602/9555/11073/55755/51339/92002/5884/1029/54962/55198/5988/25949/10361/23476/79184/3364/6601/9088/5925/126520/60561/55835/57099/4921/5889/84446/472/7756/199/1843/8451/898/7157/54908/84142/9275/54888/8720/58493/26058/80169/51347/27133/605/51433/9587/9344/5962/131601/8697/79960/51322/5777/1654/5336/51529/123879/84444/5781/9577/324/51412/10116/900/57646/79027/10263/7158/8555/27183/79577/988/3275/10217/4361/7480/10197/57551/56155/6603/1112/79621/55294/4291/5934/677/80198/11170",248
"GO:0010948","GO:0010948","negative regulation of cell cycle process","182/7300","316/18888",0.575949367088608,1.49020981446159,6.9748501698249,5.09660861682969e-12,2.48949728591296e-09,1.72005382307256e-09,"891/55143/1017/11200/332/990/3976/991/4751/7465/1111/10403/83540/7272/699/983/55055/1063/5888/51512/701/5932/9212/147841/5347/144455/83990/672/11130/4085/1869/9319/9735/2177/26271/8914/51514/22809/63967/8318/348654/81620/56241/2146/580/4998/57082/51776/146956/675/5933/79968/10106/83903/146691/83666/55159/835/899/27085/29980/9183/79733/9700/83695/6118/10459/151636/4436/25959/5810/6347/3014/90/64859/28984/51499/10385/51379/25896/3619/1263/4193/1407/4582/116224/57405/91607/1763/8379/678/10457/3624/261726/23026/80185/5311/4682/4303/90381/55743/322/5883/2648/9675/595/9031/545/8260/5371/57662/1432/785/3135/10040/440275/51720/9555/11073/55755/91147/51339/5884/54962/5988/8850/25949/79184/3364/9088/5925/8658/60561/286151/57099/84446/472/7756/1843/8451/7157/54908/84142/27243/54888/8720/58493/26058/51347/9587/9344/131601/79960/51322/7014/123879/84444/5781/9577/324/10116/900/57646/79027/10263/7158/6196/8555/27183/79577/988/3275/10217/4361/57551/56155/1112/79621/5934/677/80198/11170",182
"GO:0010212","GO:0010212","response to ionizing radiation","93/7300","138/18888",0.673913043478261,1.74368076235855,6.95927713311611,6.78475236962034e-12,3.07736982479208e-09,2.12622916365245e-09,"1894/11200/10635/5888/121457/672/25788/2177/6648/8438/3627/580/7516/836/51776/3428/675/7056/1647/6240/55159/6591/6423/581/10276/22976/10269/83695/4436/5810/57103/3014/64859/578/23514/63979/25896/4193/4221/1958/894/10010/90381/79073/7520/64782/5883/64326/7518/545/5371/85456/23028/1432/51720/11073/79184/2140/3364/5562/3735/388/2138/7412/472/2885/5788/375757/7157/84142/64710/58493/3552/7486/79840/598/10413/2876/11011/123879/9577/64421/57646/1788/7158/2067/6609/5423/6422/1196/404672/2002/120227",93
"GO:0044839","GO:0044839","cell cycle G2/M phase transition","99/7300","152/18888",0.651315789473684,1.68521268925739,6.73205148989921,3.10775482411586e-11,1.31561620887572e-08,9.08991025046661e-09,"891/9133/1017/11200/990/7465/1111/10403/890/6790/9833/983/1063/2305/5932/9212/5347/672/26271/9928/1019/51514/22809/63967/1021/995/8317/8444/580/4998/993/84930/23236/6240/29980/10657/22976/8493/994/55920/219736/64859/79915/57504/1263/10763/116224/6502/7319/10083/10270/4303/90381/55743/595/9024/51720/9555/11073/92002/5884/5988/10776/25949/23476/79184/3364/79176/9088/60561/57099/5889/84446/472/219771/7157/84142/79831/8720/58493/80169/51347/27133/801/9344/808/9577/5218/900/6873/8555/27183/4361/7480/57551/284001/1112/79621/23194",99
"GO:0140014","GO:0140014","mitotic nuclear division","160/7300","277/18888",0.577617328519856,1.49452549329905,6.58085605970265,7.17332637627823e-11,2.84691390558542e-08,1.96700160107419e-08,"10051/891/9493/55143/220134/64105/11200/332/991/4751/64151/1111/10403/83540/24137/6790/7272/4605/22974/11004/9055/23397/11065/699/983/55055/1063/701/9787/51203/113130/9212/2316/147841/858/221150/5347/3833/157313/1062/11130/4085/29127/9319/9735/3832/26271/81930/9928/54892/348654/81620/995/2491/10615/27338/57082/3481/27436/9585/4288/387893/83903/146691/9918/998/2059/1104/27175/27085/90417/23636/9183/91272/9700/80346/1613/146909/10459/23141/10592/28984/5159/84722/7329/940/5901/3619/286053/54820/79998/79866/10540/49856/57405/23122/23310/8379/26013/54984/83987/3835/148479/10270/6795/51434/3837/84687/9031/7283/8877/2801/10040/26065/55755/8850/10361/25970/9088/11044/5925/9820/8678/3304/286151/472/7756/1843/1908/9150/54908/54627/84142/27243/55512/3552/129563/51433/9587/137886/4926/8697/3303/51529/55023/324/9639/1950/8555/27183/23363/56155/8815/23113/348235/283489/56647/57026/55844/5902",160
"GO:0007059","GO:0007059","chromosome segregation","228/7300","423/18888",0.539007092198582,1.39462547362285,6.51507351798403,9.52941946408113e-11,3.55951844687737e-08,2.45935729574552e-08,"10051/891/9133/9493/1894/55143/220134/64105/11200/9232/332/990/991/4751/64151/10460/10403/83540/24137/6790/7272/4605/22974/11004/9055/23397/11065/699/983/55055/1063/151246/701/9787/51203/7153/79682/113130/151648/259266/9212/2316/147841/84057/79980/221150/5347/55355/55706/3833/55839/157313/83990/672/1062/11130/91687/64946/6491/4085/157570/29127/9319/9735/3832/2177/81610/26271/81930/9928/11339/387103/23421/54892/348654/81620/79019/2491/10615/93323/10096/57082/51776/27436/54069/6605/56852/29893/116028/4288/86/115106/23137/387893/83903/10783/5359/203068/9918/998/1104/27175/79172/8841/79677/90417/23636/9183/1778/401541/91272/9700/79023/146909/10459/163786/81624/10592/55920/23354/84722/7329/60/7156/10609/5901/3619/286053/55732/2959/25879/54820/8780/79998/10540/49856/57405/23122/51112/2669/23310/8379/9134/54984/996/3835/56271/148479/10270/6795/51434/3837/55743/150465/10734/9031/9391/28989/7283/9274/56776/51547/2801/6595/84191/6602/26065/10982/55755/6047/8850/378708/6601/11044/5925/256126/10388/8658/8678/29901/3304/55835/4439/472/7756/27229/1843/7150/55559/23353/898/201254/54908/85378/54627/84142/9275/27243/129563/64210/4292/605/51433/9587/4926/8697/84944/3303/1654/11011/51529/324/51412/9639/27183/22924/4361/245711/56155/10844/6603/11243/83852/7320/348235/55166/283489/56647",228
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","80/7300","118/18888",0.677966101694915,1.75416763408405,6.52252022677181,1.25205555319512e-10,4.41697375710501e-08,3.05179388638436e-08,"891/55143/332/991/4751/1111/10403/83540/6790/7272/11065/699/55055/1063/701/9787/51203/9212/147841/858/5347/157313/11130/4085/9319/9735/26271/348654/995/57082/3481/9585/4288/83903/146691/998/1104/27085/23636/9183/9700/1613/10459/28984/5159/940/3619/286053/79866/57405/8379/26013/83987/51434/8877/10040/55755/25970/9088/5925/9820/286151/472/7756/1843/1908/54908/55512/3552/51433/9587/8697/51529/55023/324/1950/23363/56155/23113/57026",80
"GO:0030199","GO:0030199","collagen fibril organization","51/7300","66/18888",0.772727272727273,1.99935242839352,6.45500276019249,1.75512063976803e-10,5.62760369923838e-08,3.888247363187e-08,"4015/1290/1278/1277/871/1281/4060/4320/4016/1289/7042/302/11117/4017/2331/11173/1291/30008/79709/9508/80781/84171/1303/7046/6423/8985/649/9509/60681/7373/165/538/10609/140766/2296/2131/2303/5033/85301/4763/84695/7837/5925/4921/50509/26276/1280/1545/1301/150356/23127",51
"GO:1901991","GO:1901991","negative regulation of mitotic cell cycle phase transition","119/7300","195/18888",0.61025641025641,1.57897576396207,6.45025470335325,1.81834663300171e-10,5.62760369923838e-08,3.888247363187e-08,"891/55143/1017/11200/332/990/991/7465/1111/10403/83540/7272/699/983/55055/1063/51512/701/5932/9212/147841/5347/144455/672/11130/4085/9319/9735/26271/51514/63967/348654/2146/580/4998/57082/5933/10106/83903/55159/835/29980/9183/6118/10459/25959/6347/90/64859/28984/51499/10385/51379/3619/1263/4193/4582/116224/57405/91607/8379/678/10457/3624/23026/5311/4303/90381/55743/595/5371/785/51720/11073/55755/51339/5884/5988/25949/79184/3364/9088/5925/60561/57099/84446/472/7756/1843/7157/54908/84142/8720/58493/26058/51347/9587/9344/131601/79960/51322/123879/9577/324/900/79027/10263/8555/27183/79577/3275/10217/4361/57551/56155/1112/5934/677/11170",119
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","196/7300","356/18888",0.550561797752809,1.42452208711713,6.41804593223412,1.8610972863623e-10,5.62760369923838e-08,3.888247363187e-08,"891/55143/1017/11200/332/990/1031/991/7465/1111/10403/83540/6241/6790/7272/11065/699/983/55055/1063/51512/701/9787/5932/113130/9212/147841/5347/144455/672/1062/11130/6491/4085/1869/9319/9735/26271/9928/1019/51514/63967/1021/348654/995/8317/2146/580/4998/57082/51776/993/6605/5933/23236/86/10106/83903/10783/6240/55159/10537/9510/835/27085/29980/9183/51692/9700/1956/6118/10459/163786/994/55920/25959/6347/219736/90/64859/5721/28984/79915/60/51499/10385/29766/51379/637/57504/3619/1263/286053/4193/1022/4582/6868/116224/57405/894/91607/84967/8379/678/10457/9134/3624/23026/5311/4303/90381/51434/55743/595/84687/8462/5371/9274/1981/6595/785/51720/6602/11073/55755/51339/5884/1029/55198/5988/25949/10361/23476/79184/3364/6601/9088/5925/126520/60561/55835/57099/4921/5889/84446/472/7756/199/1843/8451/898/7157/54908/84142/9275/8720/58493/26058/80169/51347/27133/605/51433/9587/9344/5962/131601/8697/79960/51322/5777/1654/51529/123879/9577/324/51412/900/79027/10263/8555/27183/79577/3275/10217/4361/7480/10197/57551/56155/6603/1112/79621/5934/677/11170",196
"GO:0000086","GO:0000086","G2/M transition of mitotic cell cycle","89/7300","136/18888",0.654411764705882,1.69322320709106,6.43957828421266,2.09579913658764e-10,6.04923841696888e-08,4.17956497669727e-08,"891/1017/11200/990/7465/1111/890/6790/9833/983/1063/2305/5932/9212/5347/672/26271/9928/1019/51514/63967/1021/995/8317/580/4998/993/84930/23236/6240/29980/10657/8493/994/55920/219736/64859/57504/1263/10763/116224/6502/7319/10083/4303/90381/55743/595/9024/51720/11073/5884/5988/10776/25949/23476/79184/3364/79176/9088/60561/57099/5889/84446/472/219771/84142/79831/8720/58493/80169/51347/27133/801/9344/808/9577/5218/900/6873/8555/27183/4361/7480/57551/284001/1112/79621/23194",89
